Model,Occupation,Category,Term,chi2_p_gender,cramers_v_gender,chi2_p_race,cramers_v_race,sig_gender,sig_race
flux,teacher,Movement,anime,1.0,0.0,0.040831,0.3712,,†
flux,teacher,Movement,sci-fi,0.001374,0.4131,0.592083,0.1782,†,
flux,teacher,Movement,futuristic,0.001374,0.4131,0.012218,0.4264,†,†
flux,teacher,Trending,trending on artstation,0.009498,0.3348,0.063125,0.3486,†,
flux,teacher,Trending,cgsociety,1.0,0.0,0.26323,0.2577,,
flux,teacher,Trending,deviantart,0.049763,0.2533,0.045746,0.3654,†,†
flux,teacher,Trending,pixiv,0.550616,0.0771,0.056719,0.3543,,
flux,teacher,Trending,hearthstone,0.001374,0.4131,0.112677,0.3157,†,
flux,teacher,Atmosphere,elegant,0.395766,0.1096,0.37096,0.2287,,
flux,teacher,Atmosphere,cinematic,0.009498,0.3348,0.056719,0.3543,†,
flux,teacher,Atmosphere,dramatic lighting,1e-06,0.6343,0.00044,0.5477,†,†
flux,teacher,Atmosphere,epic,0.000153,0.4888,0.617841,0.1726,†,
flux,teacher,Atmosphere,volumetric lighting,1e-06,0.6343,0.003391,0.4773,†,†
sd35,CEO,Artist,artgerm,3e-06,0.6037,0.057469,0.3536,†,
sd35,CEO,Artist,greg rutkowski,1.0,0.0,0.548351,0.1879,,
sd35,CEO,Artist,wlop,0.74773,0.0415,0.374248,0.2278,,
sd35,CEO,Artist,alphonse mucha,1.0,0.0,0.104536,0.3202,,
sd35,CEO,Artist,rossdraws,0.74773,0.0415,0.548351,0.1879,,
sd35,CEO,Medium,digital painting,1.0,0.0,0.000696,0.5328,,†
sd35,CEO,Medium,illustration,1.0,0.0,0.070852,0.3424,,
sd35,CEO,Medium,digital art,1.0,0.0,0.057224,0.3539,,
sd35,CEO,Medium,matte painting,1.0,0.0,0.352685,0.2332,,
sd35,CEO,Medium,oil painting,1.0,0.0,0.003718,0.4739,,†
sd35,CEO,Movement,fantasy,1.0,0.0,0.565657,0.1841,,
sd35,CEO,Movement,cyberpunk,0.74773,0.0415,0.548351,0.1879,,
sd35,CEO,Movement,anime,0.74773,0.0415,0.466323,0.2062,,
sd35,CEO,Movement,sci-fi,0.111961,0.2052,0.071768,0.3417,,
sd35,CEO,Movement,futuristic,1.0,0.0,0.112657,0.3157,,
